En,Zh,ImgBaseName,AudioBaseName
"I'LL MISS YOU, TOO.",我也會想妳,17723462920710.jpg,1772346292072036.mp3
"COME ON, BOY.",走吧，小子,17723462944340.jpg,17723462944350804.mp3
"KATARA, YOU'LL FEEL BETTER AFTER YOU-- YOU HAPPY NOW?",卡塔拉，妳以後心情就會好轉…,17723462983230.jpg,1772346298324065.mp3
YOU HAPPY NOW? THERE GOES MY ONE CHANCE OF BECOMING A WATERBENDER!,妳現在開心了吧？ 我唯一成為截水神通的機會沒了,17723463038280.jpg,17723463038290792.mp3
"ALL RIGHT, READY OUR DEFENSES! THE FIRE NATION COULD BE ON OUR SHORES ANY MOMENT NOW!",好，去準備好防禦工事！,17723463066610.jpg,17723463066620462.mp3
THE FIRE NATION COULD BE ON OUR SHORES ANY MOMENT NOW! BUT I GOT TO--,烈火國隨時可能會上岸,17723463104150.jpg,17723463104160457.mp3
BUT I GOT TO-- AND NO POTTY BREAKS!,-但我要… -不能休息小便！,17723463147090.jpg,17723463147100903.mp3
"YEAH, I LIKED HER, TOO.",對啊，我也喜歡她,17723463181280.jpg,17723463181290615.mp3
THE VILLAGE!,村子！,17723463204420.jpg,17723463204430713.mp3
"APPA, WAIT HERE!",阿霸，在這等著！,17723463229630.jpg,17723463229630370.mp3
"OH, MAN!",哇靠！,17723463256300.jpg,17723463256320977.mp3
"OH, MAN.",哇靠,17723463280900.jpg,17723463280910506.mp3
SOKKA! GET OUT OF THE WAY!,蘇卡，快逃開！,17723463311710.jpg,17723463311710323.mp3
WHERE ARE YOU HIDING HIM?,你們把他藏去哪了？,17723463338820.jpg,17723463338830604.mp3
"HE'D BE ABOUT THIS AGE, MASTER OF ALL ELEMENTS.",他差不多是這年紀，精通全部元素,17723463387160.jpg,17723463387170672.mp3
I KNOW YOU'RE HIDING HIM.,我知道是你們窩藏了他！,17723463415510.jpg,17723463415520595.mp3
SHOW NO FEAR!,別展現恐懼！,17723463453850.jpg,17723463453860827.mp3
[CHEERING],耶！,17723463477060.jpg,17723463477070284.mp3
"HEY, KATARA. HEY, SOKKA. HI, AANG.",嘿，卡塔拉 嘿，蘇卡,17723463506830.jpg,17723463506840477.mp3
"HI, AANG. THANKS FOR COMING.",你好，安,17723463533910.jpg,17723463533930573.mp3
LOOKING FOR ME?,在找我嗎？,17723463585200.jpg,1772346358521091.mp3
YOU'RE THE AIRBENDER?,你就是那個截氣神通？,17723463618530.jpg,17723463618530779.mp3
YOU'RE THE AVATAR?,你就是神通王？,17723463645180.jpg,17723463645190411.mp3
AANG? NO WAY.,-安？ -不可能,17723463681060.jpg,17723463681060783.mp3
"I'VE SPENT YEARS PREPARING FOR THIS ENCOUNTER,",我花好幾年為這次相遇做準備,17723463717780.jpg,17723463717810737.mp3
"TRAINING, MEDITATING.",訓練、冥思,17723463750680.jpg,17723463750690917.mp3
"YOU'RE JUST A CHILD. WELL, YOU'RE JUST A TEENAGER.",你只是個孩子,17723463778190.jpg,17723463778200596.mp3
"IF I GO WITH YOU, WILL YOU PROMISE TO LEAVE EVERYONE ALONE?",如果我跟你走 你會答應放過其他人嗎？,17723463849080.jpg,17723463849090463.mp3
